ID,gene,t,P.Value,F1,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,logFC,AveExpr
cg10708955,PER1,16.05948227,3.24E-51,0.804720497,17,8056950,R,II,TSS1500,shore,TSS1500-shore,chr17:8054550-8055835,TRUE,TRUE,,,,0.324168626,0.473068719
cg11229513,PRDM14,16.05602338,3.39E-51,0.843812359,8,70984559,R,I,TSS1500,island,TSS1500-island,chr8:70981873-70984888,TRUE,,,,,0.291266312,0.520618272
cg10765212,COL5A2,16.04970809,3.66E-51,0.800811232,2,190044638,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.324190585,0.588838506
cg21684012,SIM1,16.01913905,5.37E-51,0.884984627,6,100912906,F,I,TSS1500,island,TSS1500-island,chr6:100912071-100913337,TRUE,,,rs3756916,,0.33023111,0.413674592
cg12193731,ACVRL1,15.99948105,6.87E-51,0.87352106,12,52300911,F,I,TSS1500,island,TSS1500-island,chr12:52300801-52301583,,,high-CpG:50586993-50587565,,,0.35247956,0.461425066
cg02871995,LAYN,15.99271852,7.48E-51,0.858629297,11,111410960,F,II,TSS1500,island,TSS1500-island,chr11:111410932-111412199,TRUE,,,,,0.285197232,0.564926619
cg08351336,CARTPT,15.98212198,8.54E-51,0.884239888,5,71014820,F,II,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,rs17358216,,0.365601749,0.400466774
cg15534755,TAGLN,15.98153847,8.60E-51,0.867288933,11,117069859,F,II,TSS200,opensea,TSS200-opensea,,TRUE,,,rs17523113,rs12288081,0.280236325,0.710940433
cg19803052,TMEM196,15.97346345,9.51E-51,0.873239437,7,19813244,F,I,TSS1500,shore,TSS1500-shore,chr7:19812569-19813005,,,,rs76984628,,0.302153128,0.473137834
cg21815667,HOXD8,15.96887003,1.01E-50,0.888251807,2,176993841,F,II,TSS1500,island,TSS1500-island,chr2:176993479-176995557,,TRUE,,,,0.362513174,0.449045029
cg06885583,MRVI1,15.96762788,1.02E-50,0.831804281,11,10715445,F,I,TSS1500,opensea,TSS1500-opensea,,,,low-CpG:10671608-10672092,,,0.187348545,0.750940277
cg11775521,KCNE3,15.96640069,1.04E-50,0.812351544,11,74178795,F,I,TSS200,island,TSS200-island,chr11:74178175-74178801,,TRUE,,,,0.277946346,0.677329883
cg05527337,SMOC2,15.96458877,1.06E-50,0.840485369,6,168841257,F,II,TSS1500,shore,TSS1500-shore,chr6:168841438-168841699,,,,,,0.309780119,0.605850256
cg23611945,PLTP,15.9633665,1.08E-50,0.847262248,20,44541153,R,II,TSS1500,shore,TSS1500-shore,chr20:44539729-44540099,,,,,,0.288370304,0.450296608
cg08363794,HOXD9,15.94633348,1.33E-50,0.823019802,2,176986460,R,II,TSS1500,island,TSS1500-island,chr2:176986424-176988291,,,,,,0.253320058,0.67131311
cg08252579,FEZF2,15.93995503,1.45E-50,0.868458274,3,62359773,F,II,TSS1500,island,TSS1500-island,chr3:62357639-62359774,,,,,,0.346545039,0.430831502
cg17098147,SPAG6,15.88047088,3.03E-50,0.870384326,10,22634142,F,I,TSS1500,island,TSS1500-island,chr10:22634000-22634862,,,,,,0.275988248,0.477646021
cg12626956,FOXB2,15.87749519,3.15E-50,0.876404494,9,79634509,R,II,TSS200,island,TSS200-island,chr9:79633326-79636030,,,,,rs72209201,0.293701577,0.476487555
cg16800165,FLRT2,15.86601156,3.63E-50,0.877980365,14,85996364,F,II,TSS200,shore,TSS200-shore,chr14:85996494-85996958,,,high-CpG:85066099-85066447,,,0.392017959,0.436653972
cg05164933,SFRP2,15.86291474,3.77E-50,0.881118881,4,154710418,F,I,TSS200,island,TSS200-island,chr4:154709512-154710827,,,,rs74549610,,0.391676471,0.472214661
cg02864688,MAD2L2,15.83057679,5.64E-50,0.887652948,1,11752342,R,II,TSS1500,island,TSS1500-island,chr1:11750701-11752651,,,,,,0.279072599,0.556415063
cg10074727,GCM2,15.80140661,8.11E-50,0.827653869,6,10883105,R,I,TSS1500,island,TSS1500-island,chr6:10882926-10883149,,,,,,0.226678109,0.440056076
cg13683990,COL11A2,15.76662611,1.25E-49,0.866855524,6,33161292,F,I,TSS1500,island,TSS1500-island,chr6:33160945-33161337,TRUE,,,rs74648076,,0.328460849,0.42392597
cg06525453,CPT2,15.76583426,1.26E-49,0.833878158,1,53661448,R,II,TSS1500,shore,TSS1500-shore,chr1:53662309-53662815,,,,,,0.283522413,0.589139095
cg27304406,BNC1,15.73862237,1.77E-49,0.890391693,15,83953690,F,I,TSS1500,island,TSS1500-island,chr15:83951980-83953930,TRUE,,,,,0.234359966,0.342204328
cg06169131,FGF8,15.73149378,1.93E-49,0.886214442,10,103536348,F,II,TSS1500,island,TSS1500-island,chr10:103535636-103536505,,,,,,0.384531906,0.501877513
cg13262687,POU4F2,15.72571462,2.07E-49,0.857975327,4,147559579,R,II,TSS1500,island,TSS1500-island,chr4:147559205-147561901,,,,,,0.375127259,0.436773183
cg04764624,RAB11FIP4,15.72187134,2.17E-49,0.857142857,17,29718129,F,II,TSS1500,shore,TSS1500-shore,chr17:29718230-29719291,,,,,,0.282989044,0.46619371
cg18267374,NEFM,15.717461,2.29E-49,0.865248227,8,24771273,F,II,TSS1500,island,TSS1500-island,chr8:24770908-24772547,,,high-CpG:24827142-24827330,rs61735462,,0.34264501,0.395827784
cg06950730,TAGLN,15.69704499,2.95E-49,0.819416202,11,117069479,R,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.176611901,0.799470334
cg16294013,PDE4B,15.69101745,3.18E-49,0.86039886,1,66258022,R,II,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,,0.376388809,0.442948549
cg13879776,CLDN11,15.68754481,3.32E-49,0.816916031,3,170136263,R,II,TSS1500,island,TSS1500-island,chr3:170136242-170137886,TRUE,,,,,0.350221857,0.59169968
cg24427376,NEXN,15.68217823,3.55E-49,0.86021128,1,78354053,F,I,TSS200,shore,TSS200-shore,chr1:78354381-78354673,TRUE,,,rs79972342,,0.183712488,0.575763216
cg03175653,GALR1,15.67275927,3.99E-49,0.858773181,18,74961798,F,I,TSS1500,island,TSS1500-island,chr18:74961556-74963822,,TRUE,,,,0.311706794,0.423859985
cg01583131,BDNF,15.6702906,4.11E-49,0.905608755,11,27744675,F,I,TSS1500,shore,TSS1500-shore,chr11:27743472-27744564,,,,,,0.294871966,0.386673823
cg15615793,CRHR2,15.67027242,4.11E-49,0.896453901,7,30722643,R,II,TSS1500,shore,TSS1500-shore,chr7:30721372-30722445,,,,,,0.2347225,0.703842852
cg14470895,CDO1,15.66764404,4.25E-49,0.905608755,5,115152431,R,I,TSS200,island,TSS200-island,chr5:115151348-115152713,TRUE,,,,,0.36285921,0.387367773
cg26371061,CARTPT,15.66340667,4.48E-49,0.908594816,5,71014857,F,I,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,,,0.343693383,0.420378196
cg04315771,NUP62,15.66148329,4.59E-49,0.821344662,19,50433949,R,II,TSS1500,shore,TSS1500-shore,chr19:50432354-50433138,,,,,,0.322863722,0.685538794
cg03943081,TCERG1L,15.65976111,4.68E-49,0.908594816,10,133110646,F,II,TSS1500,island,TSS1500-island,chr10:133109193-133111052,,,,,,0.319120686,0.374998305
cg05056120,EBF1,15.65549415,4.94E-49,0.879411765,5,158527702,R,II,TSS1500,island,TSS1500-island,chr5:158527374-158527983,,,,,,0.325882106,0.415264845
cg21550024,FGF2,15.65074136,5.24E-49,0.824740315,4,123747533,R,II,TSS1500,shore,TSS1500-shore,chr4:123747740-123748980,TRUE,,,rs77789858,rs308399,0.301073334,0.666104501
cg01105229,WNT2,15.6385617,6.09E-49,0.893560056,7,116964841,R,I,TSS1500,shore,TSS1500-shore,chr7:116962841-116964803,,,,,,0.223326264,0.405852895
cg13347910,GCNT2,15.63458721,6.39E-49,0.894454159,6,10555853,R,II,TSS200,opensea,TSS200-opensea,,,TRUE,,rs55908477,rs56132180,0.293468399,0.634413255
cg10988628,PRAP1,15.63066283,6.71E-49,0.855123248,10,135160697,R,II,TSS200,opensea,TSS200-opensea,,TRUE,,,,,0.284541834,0.648252514
cg27324426,ZNF154,15.6202107,7.63E-49,0.890612463,19,58220837,R,II,TSS1500,shore,TSS1500-shore,chr19:58220189-58220517,TRUE,,,,,0.355877935,0.482845946
cg19711579,NEUROD1,15.61435503,8.20E-49,0.813542193,2,182545562,F,II,TSS200,shelf,TSS200-shelf,chr2:182547873-182549177,,TRUE,,,,0.337427881,0.432366073
cg01135780,EBF1,15.61418977,8.22E-49,0.899464044,5,158527707,R,I,TSS1500,island,TSS1500-island,chr5:158527374-158527983,,,,,,0.263904976,0.328850563
cg05376374,MIR129-2,15.60738786,8.94E-49,0.90260631,11,43602920,F,I,TSS200,island,TSS200-island,chr11:43602545-43603215,,,,,,0.342836319,0.372957917
cg18877506,PDPN,15.60603165,9.09E-49,0.908594816,1,13910555,R,II,TSS1500,island,TSS1500-island,chr1:13910137-13910868,TRUE,,,,,0.394856995,0.416188008
cg05052324,PAX7,15.59942208,9.86E-49,0.833532934,1,18957020,F,I,TSS1500,island,TSS1500-island,chr1:18956895-18959829,,TRUE,,,,0.34695169,0.432491059
cg25075794,AQP1,15.57830593,1.28E-48,0.850014339,7,30951392,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.304876019,0.626270179
cg05081497,RASSF2,15.56771885,1.46E-48,0.83368634,20,4804710,R,II,TSS1500,shore,TSS1500-shore,chr20:4803013-4804146,,,,,,0.302639422,0.565496704
cg17493885,NSD1,15.55265536,1.75E-48,0.838379478,5,176559558,R,I,TSS1500,island,TSS1500-island,chr5:176558852-176561652,,,,,,0.19220411,0.748418781
cg26740494,MMP23A,15.54770534,1.86E-48,0.854997076,1,1567131,F,II,TSS1500,island,TSS1500-island,chr1:1564421-1570006,,,,,,0.256911913,0.642667037
cg15343119,GALR1,15.53328371,2.23E-48,0.902950335,18,74961785,F,II,TSS1500,island,TSS1500-island,chr18:74961556-74963822,,TRUE,,,,0.361571308,0.430120512
cg20584905,PAX3,15.52777249,2.38E-48,0.850607756,2,223163784,R,II,TSS200,island,TSS200-island,chr2:223162946-223163912,TRUE,,,,,0.348678609,0.492108567
cg02106941,NEFM,15.52399632,2.50E-48,0.899587345,8,24772137,F,II,TSS1500,island,TSS1500-island,chr8:24770908-24772547,TRUE,,,,rs57688534,0.288260346,0.341902676
cg07628084,LAMA4,15.51616529,2.75E-48,0.916782072,6,112576119,F,II,TSS1500,shore,TSS1500-shore,chr6:112575091-112575483,,,,,,0.265015765,0.738687332
cg04817300,TP53AIP1,15.51301494,2.86E-48,0.859580868,11,128812875,R,II,TSS200,opensea,TSS200-opensea,,,,,,rs75197758,0.218324598,0.782529354
cg09016242,SALL1,15.50992852,2.97E-48,0.853868195,16,51185110,F,I,TSS1500,island,TSS1500-island,chr16:51183699-51188763,TRUE,,,,,0.38913518,0.463219451
cg07637213,CHAT,15.50663866,3.09E-48,0.870276703,10,50820604,R,II,TSS1500,shore,TSS1500-shore,chr10:50821487-50821688,,TRUE,,,,0.251171024,0.479614086
cg06007271,CYTL1,15.50480245,3.16E-48,0.890429958,4,5021203,F,I,TSS200,island,TSS200-island,chr4:5021003-5021329,,TRUE,,,,0.332890317,0.489000899
cg03828109,P2RX5,15.49784953,3.44E-48,0.892753623,17,3600356,R,I,TSS1500,shore,TSS1500-shore,chr17:3599052-3599551,,,,,rs73312643,0.15009734,0.705616558
cg24989962,PTGDR,15.48602693,3.98E-48,0.869124424,14,52734286,F,I,TSS200,island,TSS200-island,chr14:52734207-52735486,,,,,,0.296490003,0.513201155
cg13759852,PER1,15.47677538,4.46E-48,0.905608755,17,8056985,F,II,TSS1500,shore,TSS1500-shore,chr17:8054550-8055835,TRUE,TRUE,,,,0.239462598,0.31691699
cg04177826,KLHDC7B,15.46354141,5.24E-48,0.828752643,22,50985681,F,II,TSS1500,island,TSS1500-island,chr22:50984972-50988141,,,,rs5770882,,0.251044565,0.495319749
cg22462235,LEFTY2,15.46310174,5.27E-48,0.824887035,1,226129481,F,II,TSS1500,shore,TSS1500-shore,chr1:226127112-226127695,,,,,,0.215437298,0.759751764
cg21484228,TRIM71,15.45527863,5.80E-48,0.81403118,3,32859417,R,I,TSS200,island,TSS200-island,chr3:32858194-32860506,,,,,,0.357821544,0.403666671
cg22638766,MIR25,15.43586356,7.36E-48,0.840334008,7,99691486,R,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.229520995,0.724117028
cg15556502,MIR129-2,15.42856042,8.05E-48,0.879551821,11,43602845,R,I,TSS200,island,TSS200-island,chr11:43602545-43603215,,TRUE,,,,0.343600011,0.350123469
cg22332066,HHAT,15.40350541,1.09E-47,0.889632298,1,210501621,R,II,TSS1500,shore,TSS1500-shore,chr1:210502133-210502793,,,,,,0.260134624,0.692701962
cg20388732,STAT5A,15.4002537,1.14E-47,0.887343533,17,40439433,R,II,TSS200,shore,TSS200-shore,chr17:40440188-40441014,,TRUE,,,,0.374268161,0.442790502
cg14944647,MIR129-2,15.3716664,1.62E-47,0.896551724,11,43602857,R,I,TSS200,island,TSS200-island,chr11:43602545-43603215,,TRUE,,,,0.323945175,0.346013323
cg01045132,CNN1,15.36928361,1.66E-47,0.835705446,19,11649571,F,II,TSS200,opensea,TSS200-opensea,,TRUE,,,,,0.298976387,0.477445346
cg16691593,OTP,15.35929852,1.88E-47,0.857694784,5,76934634,R,II,TSS200,island,TSS200-island,chr5:76934581-76935296,,TRUE,,,,0.305309649,0.593231099
cg00961617,PPP1R1B,15.35251275,2.04E-47,0.873190754,17,37782380,F,II,TSS1500,shore,TSS1500-shore,chr17:37783314-37783919,,TRUE,,rs10852934,,0.263328049,0.725501746
cg07783282,USP44,15.35188085,2.06E-47,0.874824191,12,95942964,R,II,TSS1500,island,TSS1500-island,chr12:95941906-95942979,TRUE,,,,,0.382524473,0.447566448
cg09180848,BNC1,15.34531698,2.23E-47,0.874242791,15,83953780,F,II,TSS1500,island,TSS1500-island,chr15:83951980-83953930,TRUE,,,,,0.356703497,0.439844318
cg20023231,HS3ST2,15.32758267,2.77E-47,0.896551724,16,22825282,R,II,TSS1500,island,TSS1500-island,chr16:22824616-22826459,,,,,,0.339179496,0.391544998
cg02400942,CSPG4,15.32321195,2.92E-47,0.842429279,15,76006125,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,rs78498387,,0.226230183,0.708966079
cg24319381,CPEB1,15.30227851,3.77E-47,0.844837758,15,83316911,F,II,TSS200,island,TSS200-island,chr15:83315116-83317541,TRUE,,,,,0.360548261,0.448582732
cg27615366,PDLIM4,15.28480852,4.66E-47,0.840059791,5,131592974,R,II,TSS1500,shore,TSS1500-shore,chr5:131593039-131593813,TRUE,,,,,0.223795325,0.642052285
cg21255438,PRDM14,15.25846025,6.43E-47,0.870901223,8,70983760,F,II,TSS200,island,TSS200-island,chr8:70981873-70984888,TRUE,,,,,0.303448759,0.504806269
cg14289461,LAMA4,15.2206894,1.02E-46,0.848124456,6,112575929,R,II,TSS200,shore,TSS200-shore,chr6:112575091-112575483,,,low-CpG:112682038-112682667,,,0.3142699,0.455116374
cg07870237,ACSL6,15.21828757,1.05E-46,0.826719251,5,131348431,F,II,TSS1500,shore,TSS1500-shore,chr5:131346892-131347776,TRUE,,,,,0.316649847,0.434585141
cg27029821,PRDM14,15.21181714,1.13E-46,0.91294964,8,70983741,R,I,TSS200,island,TSS200-island,chr8:70981873-70984888,TRUE,,,,,0.243794574,0.487253746
cg09321400,SLC6A2,15.20821525,1.18E-46,0.884239888,16,55690443,R,I,TSS200,island,TSS200-island,chr16:55689598-55690895,,TRUE,,,,0.35340588,0.37319213
cg08067617,F2RL3,15.19059749,1.47E-46,0.844554424,19,16999641,F,II,TSS200,shore,TSS200-shore,chr19:17000627-17001398,TRUE,,,,,0.213249264,0.52836914
cg10189135,ATP6V0D1,15.1713971,1.85E-46,0.805395349,16,67516162,F,II,TSS1500,shore,TSS1500-shore,chr16:67514398-67515345,,,,,,0.298067801,0.462625861
cg21527621,ACOT11,15.17011745,1.88E-46,0.900921659,1,55013419,R,I,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.291012449,0.444050437
cg05766140,IRF4,15.13988835,2.71E-46,0.86039886,6,391743,F,II,TSS200,island,TSS200-island,chr6:391188-393790,,,,,,0.395544898,0.412557473
cg26827653,FEZ1,15.10998353,3.90E-46,0.900639762,11,125366540,R,I,TSS1500,shore,TSS1500-shore,chr11:125365137-125366319,TRUE,,,,,0.204917973,0.691390168
cg04549460,RSPO2,15.10716598,4.03E-46,0.898071625,8,109095975,R,II,TSS200,shore,TSS200-shore,chr8:109094485-109095849,TRUE,,,,,0.36473227,0.392392703
cg08315202,NPTX2,15.10137608,4.32E-46,0.847262248,7,98246006,R,I,TSS1500,island,TSS1500-island,chr7:98245805-98247759,,,,,,0.388100791,0.420068004
cg23180938,CDO1,15.08009884,5.59E-46,0.866855524,5,115152485,F,I,TSS200,island,TSS200-island,chr5:115151348-115152713,TRUE,,,,,0.374239982,0.381694869
cg04034685,ICAM2,15.07265251,6.12E-46,0.817206907,17,62085532,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.241048452,0.612572979
cg08481491,ALDH1L1,15.06310626,6.87E-46,0.877227156,3,125900108,R,II,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,TRUE,,,,0.288965414,0.620353407
cg03443455,GAD1,15.06263139,6.91E-46,0.844483268,2,171671795,F,II,TSS1500,island,TSS1500-island,chr2:171671598-171671804,,TRUE,,,,0.281546655,0.553587092
cg17451760,LTBP3,15.06185039,6.97E-46,0.896382072,11,65327156,R,II,TSS1500,shore,TSS1500-shore,chr11:65325081-65326209,,TRUE,,,,0.205897283,0.563237521
cg01108118,IRF4,15.03888728,9.20E-46,0.907103825,6,391189,R,II,TSS1500,island,TSS1500-island,chr6:391188-393790,,,,,,0.382463397,0.39790233
cg15986413,ECEL1,15.03777675,9.32E-46,0.820605763,2,233352776,F,II,TSS1500,island,TSS1500-island,chr2:233350278-233352974,,,,,,0.227384905,0.484345874
cg15204861,CRYAB,15.03012819,1.02E-45,0.893499308,11,111783352,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.289140692,0.519603775
cg26844246,TLX3,15.0167973,1.20E-45,0.877980365,5,170736277,R,I,TSS200,island,TSS200-island,chr5:170735169-170739863,,,,,,0.337155119,0.490096251
cg25459558,COL11A2,15.00221888,1.43E-45,0.870535714,6,33161290,F,I,TSS1500,island,TSS1500-island,chr6:33160945-33161337,TRUE,,,rs74648076,,0.381345708,0.439358201
cg14151259,ID4,14.99786376,1.51E-45,0.879038317,6,19837015,F,II,TSS1500,island,TSS1500-island,chr6:19837014-19837228,TRUE,,,,,0.35781793,0.420284373
cg03242028,MSMP,14.99507931,1.56E-45,0.883792049,9,35754421,R,II,TSS200,shelf,TSS200-shelf,chr9:35756948-35757339,,,,,,0.132657399,0.872284502
cg14753355,F2RL3,14.99276191,1.60E-45,0.871392989,19,16999668,R,II,TSS200,shore,TSS200-shore,chr19:17000627-17001398,TRUE,,,,,0.345662449,0.466503632
cg23350294,PENK,14.98741117,1.71E-45,0.870056497,8,57359992,R,I,TSS1500,island,TSS1500-island,chr8:57359899-57360114,TRUE,TRUE,,,,0.250181074,0.453997572
cg14015441,DPYS,14.98179288,1.83E-45,0.863049713,8,105479318,R,I,TSS200,island,TSS200-island,chr8:105478672-105479340,,,,,,0.292389439,0.40619414
cg14943722,HYAL1,14.96689659,2.19E-45,0.851173256,3,50341009,F,II,TSS200,opensea,TSS200-opensea,,TRUE,,,,,0.192529719,0.808331234
cg03202804,SFRP2,14.95953242,2.39E-45,0.876660342,4,154710353,R,II,TSS200,island,TSS200-island,chr4:154709512-154710827,,,,,,0.386505298,0.41483833
cg03109827,TCERG1L,14.95180354,2.63E-45,0.8652019,10,133110349,R,I,TSS1500,island,TSS1500-island,chr10:133109193-133111052,TRUE,,,,,0.309367981,0.394469758
cg00459232,CD9,14.94822126,2.74E-45,0.84375,12,6309025,R,II,TSS1500,shore,TSS1500-shore,chr12:6309152-6310392,TRUE,TRUE,,,,0.379317106,0.473384758
cg25002649,CUL7,14.94378253,2.89E-45,0.818259144,6,43022044,F,II,TSS1500,shore,TSS1500-shore,chr6:43021125-43021694,,,,rs71547829,,0.277028848,0.695160752
cg14142007,HOXD9,14.92247085,3.74E-45,0.898071625,2,176987225,R,I,TSS200,island,TSS200-island,chr2:176986424-176988291,TRUE,TRUE,,,rs10445765,0.272328355,0.324404381
cg07878486,ZNF132,14.92121781,3.79E-45,0.881118881,19,58951885,R,II,TSS1500,island,TSS1500-island,chr19:58951214-58952250,TRUE,,,,,0.34888141,0.353575049
cg02101773,INSM1,14.91730095,3.98E-45,0.895027624,20,20347593,F,II,TSS1500,island,TSS1500-island,chr20:20344400-20350605,,,,,,0.376017423,0.397990207
cg02011074,DNM3,14.91679512,4.00E-45,0.893499308,1,171810468,R,II,TSS200,island,TSS200-island,chr1:171810467-171811325,,,,,,0.39962043,0.443797729
cg09795588,PTF1A,14.9086612,4.41E-45,0.90122862,10,23479993,F,I,TSS1500,shore,TSS1500-shore,chr10:23480697-23482455,,,,rs35423472,,0.316667573,0.3724352
cg10942078,SFRP2,14.90024286,4.88E-45,0.87410868,4,154710429,F,II,TSS1500,island,TSS1500-island,chr4:154709512-154710827,,,,rs74549610,,0.348909521,0.486136099
cg11327857,FGF2,14.90003594,4.89E-45,0.861915635,4,123747558,F,II,TSS1500,shore,TSS1500-shore,chr4:123747740-123748980,TRUE,,,,,0.231243134,0.669277968
cg01747222,CMTM5,14.8955356,5.16E-45,0.875844342,14,23845893,R,I,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.219590811,0.588934863
cg01830294,WNT2,14.88078533,6.16E-45,0.900766166,7,116963492,F,II,TSS200,island,TSS200-island,chr7:116962841-116964803,,,,,,0.328867919,0.437335375
cg00663972,SOX1,14.87867012,6.32E-45,0.88590604,13,112721725,F,II,TSS200,island,TSS200-island,chr13:112720564-112723582,,,,,,0.304103378,0.335408285
cg12101586,CYP1A1,14.86429074,7.51E-45,0.852715493,15,75019203,F,I,TSS1500,island,TSS1500-island,chr15:75018186-75019336,,,,,,0.283138402,0.450219125
cg10103850,SLC8A1,14.8592294,7.98E-45,0.916838488,2,40658891,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,rs12052800,,0.325926555,0.576695565
cg24021956,MAGI2,14.8465442,9.29E-45,0.88156363,7,79083509,R,II,TSS1500,island,TSS1500-island,chr7:79082948-79083850,TRUE,,,rs79578319,,0.391900543,0.436057841
cg13315970,NT5E,14.8431585,9.67E-45,0.810872894,6,86159197,F,II,TSS200,shore,TSS200-shore,chr6:86159425-86160395,,,,rs76099537,,0.388435628,0.493514309
cg10486998,GALR1,14.83783171,1.03E-44,0.870056497,18,74961787,F,II,TSS1500,island,TSS1500-island,chr18:74961556-74963822,,TRUE,,,,0.374260432,0.426244936
cg24249411,BDNF,14.82589357,1.19E-44,0.862019915,11,27744759,R,II,TSS1500,shore,TSS1500-shore,chr11:27743472-27744564,,,,,,0.342824384,0.425734665
cg27390220,TMEM158,14.81937173,1.29E-44,0.862161771,3,45268523,F,II,TSS1500,shore,TSS1500-shore,chr3:45266477-45268039,,,,,,0.258370004,0.650269889
cg02902318,GJA4,14.8108374,1.42E-44,0.891809909,1,35258061,F,II,TSS1500,shore,TSS1500-shore,chr1:35258564-35258791,,,,rs75888465,,0.170494349,0.807214953
cg03941587,FGF2,14.81047385,1.43E-44,0.830020284,4,123747634,R,II,TSS1500,shore,TSS1500-shore,chr4:123747740-123748980,TRUE,,,,,0.272846234,0.685167663
cg05211836,F2RL3,14.8069037,1.49E-44,0.845394955,19,16999576,R,I,TSS1500,shore,TSS1500-shore,chr19:17000627-17001398,TRUE,,,,,0.243375199,0.528986503
cg24365867,MRVI1,14.80045045,1.61E-44,0.841222363,11,10715595,R,II,TSS1500,opensea,TSS1500-opensea,,,,,,,0.227501908,0.579329555
cg02712145,CRHR2,14.76852303,2.36E-44,0.87599953,7,30722433,R,II,TSS1500,island,TSS1500-island,chr7:30721372-30722445,,,,,,0.319256197,0.423660916
cg11145160,CLDN11,14.75582439,2.75E-44,0.847559703,3,170136278,R,I,TSS1500,island,TSS1500-island,chr3:170136242-170137886,TRUE,,,,,0.335682995,0.472733296
cg21269843,OTP,14.75436865,2.80E-44,0.830409357,5,76934696,F,II,TSS200,island,TSS200-island,chr5:76934581-76935296,,TRUE,,,,0.291261596,0.493420765
cg18035229,PRDM14,14.74544927,3.11E-44,0.848920863,8,70984270,F,II,TSS1500,island,TSS1500-island,chr8:70981873-70984888,TRUE,,,,,0.340146788,0.426254335
cg26372400,ACVRL1,14.74532455,3.11E-44,0.882681564,12,52300922,F,II,TSS1500,island,TSS1500-island,chr12:52300801-52301583,,,high-CpG:50586993-50587565,,,0.321029362,0.389173934
cg09639715,GFAP,14.72849706,3.81E-44,0.85297382,17,42994008,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.193809736,0.825982236
cg16832407,TRPM3,14.6855375,6.35E-44,0.87815511,9,73736539,R,II,TSS200,opensea,TSS200-opensea,,,,,,rs59612871,0.339497858,0.485385951
cg18242103,PTGDR,14.67755817,6.98E-44,0.827468678,14,52734253,F,II,TSS200,island,TSS200-island,chr14:52734207-52735486,,,,,,0.304962874,0.598629146
cg02631468,VSX1,14.67496942,7.20E-44,0.857212004,20,25062777,R,I,TSS200,island,TSS200-island,chr20:25061761-25062928,TRUE,,,,,0.321157581,0.392878067
cg19127283,TRIM71,14.67296261,7.37E-44,0.850574713,3,32859407,R,I,TSS200,island,TSS200-island,chr3:32858194-32860506,,,,,,0.361012516,0.377921298
cg09424526,PAX3,14.67100693,7.55E-44,0.871650212,2,223163809,R,I,TSS200,island,TSS200-island,chr2:223162946-223163912,TRUE,,,,,0.345778793,0.369725044
cg25209842,FGF8,14.64256297,1.06E-43,0.874824191,10,103536342,F,I,TSS1500,island,TSS1500-island,chr10:103535636-103536505,,,,,,0.368249252,0.405249586
cg19456622,PCDH8,14.6412491,1.08E-43,0.815491184,13,53423132,R,II,TSS1500,shore,TSS1500-shore,chr13:53424941-53425995,,TRUE,,,,0.322867289,0.416901367
cg09576619,DHX58,14.63441374,1.17E-43,0.820668693,17,40265577,R,II,TSS1500,shelf,TSS1500-shelf,chr17:40269400-40269613,,,,,,0.120646575,0.846452597
cg11861562,TAGLN,14.62261205,1.34E-43,0.913184544,11,117069780,R,I,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.262737777,0.651061688
cg09015433,PENK,14.61918825,1.40E-43,0.865527066,8,57359970,R,I,TSS1500,island,TSS1500-island,chr8:57359899-57360114,TRUE,TRUE,,,,0.282939197,0.523797725
cg04986015,DNM3,14.59913654,1.77E-43,0.868169612,1,171810433,F,II,TSS200,shore,TSS200-shore,chr1:171810467-171811325,,,,,,0.363289584,0.505051446
cg27370013,NTM,14.57507521,2.36E-43,0.8005997,11,131780276,F,II,TSS1500,shore,TSS1500-shore,chr11:131780328-131781532,TRUE,,,,,0.215423818,0.455049169
cg06148118,LMO2,14.55395099,3.03E-43,0.835243188,11,33892246,F,II,TSS1500,shore,TSS1500-shore,chr11:33890357-33891495,TRUE,,,,,0.361304301,0.492923062
cg12426652,CLDN14,14.55111702,3.13E-43,0.874655992,21,37915056,F,I,TSS200,opensea,TSS200-opensea,,,,,,,0.295030182,0.562347142
cg20277905,MIR124-3,14.53905914,3.61E-43,0.855507868,20,61809716,R,II,TSS200,island,TSS200-island,chr20:61806254-61810867,,,,,,0.311242571,0.377621184
