node1,node2,combined_score
PLCE1,DGKZ,742
DLG4,DGKZ,806
GAD1,NAT8L,843
FGFR1,FGF12,746
PVALB,BDNF,702
PDGFRB,BDNF,701
FGF2,BDNF,867
SLC6A3,BDNF,747
EGFR,BDNF,796
LEP,BDNF,701
HTR1A,BDNF,758
TAC1,BDNF,793
GAD1,BDNF,703
MAPK10,BDNF,927
DRD2,BDNF,718
CNTF,BDNF,945
GAP43,BDNF,757
INS,BDNF,720
DLG4,BDNF,875
POMC,BDNF,714
NPY,BDNF,758
IL6,BDNF,794
SLC12A5,BDNF,727
FGFR1,BDNF,746
NTF3,BDNF,993
GDNF,BDNF,950
SPI1,CBFB,907
MNAT1,CBFB,906
CCND2,CBFB,904
MYL9,CBFB,907
TAL1,CBFB,729
CSF2,CBFB,900
RUNX1,CBFB,999
PRKCB,CBFB,900
RUNX3,CBFB,997
COL1A2,TGFBI,713
MMP14,TGFBI,831
POMC,FSHB,792
LPA,PLTP,928
ABCG1,PLTP,707
MAD2L2,DPPA2,702
LEP,RARRES2,716
TAC1,MME,757
PAX5,MME,729
CD9,MME,741
PRDM12,EVX1,714
ADAMTS8,ADAMTS12,914
ADAMTS16,ADAMTS12,913
ADAMTS5,ADAMTS12,920
ADAMTS3,ADAMTS12,919
ADAMTS20,ADAMTS12,921
ISL1,SLIT2,933
GPC1,SLIT2,989
ROBO4,SLIT2,992
CXCL12,SLIT2,768
DCC,SLIT2,874
CPT2,ACSL1,709
ACSL6,ACSL1,758
TBL1XR1,ACSL1,905
SV2A,SV2C,813
FBN1,FBN2,949
NT5E,PROM1,703
MCAM,PROM1,709
FGF2,PROM1,811
EGFR,PROM1,735
THY1,PROM1,833
KRT19,PROM1,717
DLK1,DIO3,899
DIO1,DIO3,911
BLNK,PIK3R1,773
IL23A,PIK3R1,900
HCST,PIK3R1,835
TLR2,PIK3R1,927
PDGFRB,PIK3R1,998
CD80,PIK3R1,905
ERBB3,PIK3R1,999
EGFR,PIK3R1,997
MRAS,PIK3R1,828
CSF2,PIK3R1,911
FES,PIK3R1,931
PDGFA,PIK3R1,917
PIP5K1A,PIK3R1,909
DAB1,PIK3R1,900
CD40,PIK3R1,955
TGFBR1,PIK3R1,919
IRF4,PIK3R1,911
LAMA1,PIK3R1,900
CXCL12,PIK3R1,914
INS,PIK3R1,962
ZFPM2,PIK3R1,803
PTPN6,PIK3R1,979
BCAR1,PIK3R1,945
JAK3,PIK3R1,943
FGFR1,PIK3R1,977
NTF3,PIK3R1,904
ESR1,PIK3R1,999
GDNF,PIK3R1,902
BDNF,PIK3R1,917
BLNK,LYN,984
TLR2,LYN,825
CCND2,LYN,913
PPP2R5A,LYN,909
PDGFRB,LYN,921
GPC1,LYN,903
CD80,LYN,711
EGFR,LYN,981
STAT5B,LYN,969
CSF2,LYN,951
PRKCB,LYN,918
STAT5A,LYN,962
CD40,LYN,794
PTPN6,LYN,994
BCAR1,LYN,983
MME,LYN,982
PIK3R1,LYN,947
KALRN,GRIA1,708
GRIA4,GRIA1,844
PRKCB,GRIA1,941
KIF5B,GRIA1,862
HTR3A,GRIA1,801
CAMK2A,GRIA1,980
DLG4,GRIA1,998
BDNF,GRIA1,750
LYN,GRIA1,818
EGFR,GPBAR1,816
DIO1,GPBAR1,738
MYL9,TAGLN,891
FABP5,TAGLN,757
MYH11,TAGLN,877
FKBP1A,TAGLN,750
SPI1,FLI1,868
LMO2,FLI1,702
TAL1,FLI1,947
RUNX1,FLI1,923
CDH5,FLI1,929
CBFB,FLI1,859
GAD1,SLC6A5,724
PRDX5,TXNRD1,831
GPX3,TXNRD1,855
ESR1,TXNRD1,710
TBL1XR1,TXNRD1,901
PDPN,LGALS8,897
MAP1LC3C,LGALS8,738
SLC6A2,HTR2A,702
CACNA1C,HTR2A,749
SLC6A3,HTR2A,718
HTR3A,HTR2A,756
DLG4,HTR2A,822
BDNF,HTR2A,742
BUB1B,CUL7,835
IGF2BP1,CUL7,737
CCDC8,CUL7,995
RING1,CUL7,919
BST1,NNMT,927
EGFR,NNMT,952
CCND2,PTK6,900
ERBB3,PTK6,894
EGFR,PTK6,906
BCAR1,PTK6,875
KCNA5,ACTN2,943
GRIA4,ACTN2,909
TPM3,ACTN2,890
DES,ACTN2,797
CAMK2A,ACTN2,826
DLG4,ACTN2,851
BCAR1,ACTN2,915
PIK3R1,ACTN2,902
GRIA1,ACTN2,922
BLNK,HCK,947
SPI1,HCK,734
PDGFRB,HCK,918
GPC1,HCK,901
EGFR,HCK,985
CCL11,HCK,906
MNDA,HCK,788
IL6R,HCK,913
LMO4,HCK,903
CXCL12,HCK,915
IL6,HCK,931
BCAR1,HCK,952
PIK3R1,HCK,789
LYN,HCK,934
DLG4,ANKS1B,906
FGF8,EMX2,744
FOXG1,EMX2,798
MYO15A,ITGB3,742
LAMA4,ITGB3,932
TNN,ITGB3,810
VWF,ITGB3,969
PDGFRB,ITGB3,946
CD80,ITGB3,926
FGF2,ITGB3,944
THY1,ITGB3,963
COL1A2,ITGB3,943
PRKCB,ITGB3,744
FBN1,ITGB3,929
CSF1,ITGB3,938
HMGB1,ITGB3,908
TGM2,ITGB3,923
COL11A1,ITGB3,933
PLAU,ITGB3,930
COL11A2,ITGB3,924
COL5A2,ITGB3,937
CD9,ITGB3,792
LAMA1,ITGB3,755
GIT1,ITGB3,910
BCAR1,ITGB3,954
LAMA2,ITGB3,730
GNA13,ITGB3,929
TGFBI,ITGB3,928
FBN2,ITGB3,709
PIK3R1,ITGB3,910
CYP4F2,ALOX15,913
ALOX12,ALOX15,905
IL13,ALOX15,944
PLA2G1B,ALOX15,824
PTGS2,ALOX15,961
PLA2G5,ALOX15,748
GPX3,ALOX15,732
SCTR,ADCYAP1,784
VIPR2,ADCYAP1,986
TAC1,ADCYAP1,723
CALCA,ADCYAP1,841
PLAGL1,ADCYAP1,725
GLP1R,ADCYAP1,790
GHRH,ADCYAP1,848
GNG7,ADCYAP1,744
GNG4,ADCYAP1,744
POMC,ADCYAP1,775
BLNK,MAP4K1,783
EGFR,MAP4K1,783
CARD11,MAP4K1,881
GRP,PPY,710
CCK,PPY,857
INS,PPY,889
NPY,PPY,833
PYCARD,ERC1,720
CFTR,GFAP,905
PVALB,GFAP,753
FGF2,GFAP,784
OLIG2,GFAP,939
GAD1,GFAP,727
ELAVL3,GFAP,857
DES,GFAP,741
MAG,GFAP,759
GAP43,GFAP,779
DLG4,GFAP,736
PAX6,GFAP,773
BDNF,GFAP,810
PROM1,GFAP,700
CRYAB,GFAP,804
FBN1,FBN3,902
FBN2,FBN3,901
HDAC9,NUP62,908
CRP,HAMP,746
SLC40A1,HAMP,998
A2M,HAMP,981
TMPRSS6,HAMP,873
IL6,HAMP,757
GAL,FFAR2,740
MOS,CPEB1,701
PABPC1,CPEB1,772
SIX6,LHX1,738
FOXA2,LHX1,745
SYCP2,STAG3,896
PRKCB,MARCKS,965
DGKZ,MARCKS,769
BMP7,GREM1,929
FCGRT,VEGFA,753
CCL2,VEGFA,856
IL23A,VEGFA,913
CRP,VEGFA,707
VWF,VEGFA,806
PDGFRB,VEGFA,947
GPC1,VEGFA,974
FGF2,VEGFA,991
ERBB3,VEGFA,818
EGFR,VEGFA,944
CSF2,VEGFA,802
CCL11,VEGFA,713
IL13,VEGFA,736
LEP,VEGFA,864
FES,VEGFA,911
IL17F,VEGFA,934
CDH5,VEGFA,993
PTGS2,VEGFA,896
SEMA4A,VEGFA,701
HSPG2,VEGFA,957
CXCL1,VEGFA,736
CXCL12,VEGFA,849
INS,VEGFA,762
POMC,VEGFA,939
IL6,VEGFA,987
PTPN6,VEGFA,916
BCAR1,VEGFA,938
FGFR1,VEGFA,860
BDNF,VEGFA,799
PROM1,VEGFA,887
PIK3R1,VEGFA,933
ITGB3,VEGFA,950
CD80,TNFRSF9,765
CD40,TNFRSF9,744
EGFR,IQSEC1,942
DLG4,IQSEC1,742
SPRR1B,TCHH,836
IVL,TCHH,966
VSX1,BHLHE23,745
STAT5B,PRLR,957
LEP,PRLR,728
STAT5A,PRLR,988
JAK3,PRLR,863
PROC,FURIN,935
NOTCH3,FURIN,939
MMP14,FURIN,995
PACS1,FURIN,983
FBN1,FURIN,945
PDGFA,FURIN,939
FLG,FURIN,915
NOTCH4,FURIN,937
F7,FURIN,914
COL23A1,FURIN,965
FBN2,FURIN,930
FBN3,FURIN,938
GHRH,ADCYAP1R1,718
ADCYAP1,ADCYAP1R1,999
GJB2,GJA5,752
EEF1A2,MUC1,869
CEACAM5,MUC1,874
GALNT5,MUC1,910
ERBB3,MUC1,707
EGFR,MUC1,998
KRT19,MUC1,748
IL6R,MUC1,916
MSLN,MUC1,713
MAG,MUC1,891
GALNT13,MUC1,908
ESR1,MUC1,985
MUC6,MUC1,985
SIGLEC9,MUC1,946
