Model,ID1,ID2,ID3,ID4,average_accuracy,AUC,f1_score,AVG_accuracy,AVG_AUC,AVG_f1_score,,,Cluster1,Cluster2,Cluster3,Cluster4
XGBoost,cg27494647,cg10266490,cg04574090,cg01146232,0.957303371,0.891692505,0.976100629,,,,,,,,,
RandomForest,cg27494647,cg10266490,cg04574090,cg01146232,0.966292135,0.906099647,0.981179423,,,,,,,,,
Decision Tree,cg01158680,cg14502484,cg04574090,cg01146232,0.950561798,0.861033893,0.973717146,,,,,,,,,
SVM,cg01158680,cg14502484,cg04574090,cg01146232,0.975280899,0.939270822,0.986163522,,,,,,,,,
XGBoost,cg01158680,cg14502484,cg04574090,cg01146232,0.961797753,0.894205068,0.978670013,,,,,,,,,
RandomForest,cg01158680,cg14502484,cg04574090,cg01146232,0.968539326,0.907355929,0.98245614,,,,,,,,,
Logistic Regression,cg04037038,cg14502484,cg04574090,cg01146232,0.95505618,0.834144125,0.975186104,,,,,,,,,
SVM,cg04037038,cg14502484,cg04574090,cg01146232,0.970786517,0.936758259,0.983606557,,,,,,,,,
XGBoost,cg04037038,cg14502484,cg04574090,cg01146232,0.95505618,0.890436224,0.974811083,,,,,,,,,
RandomForest,cg04037038,cg14502484,cg04574090,cg01146232,0.966292135,0.896717631,0.981226533,,,,,,,,,
Logistic Regression,cg07445246,cg14502484,cg04574090,cg01146232,0.97752809,0.902999038,0.987562189,,,,,,,,,
SVM,cg07445246,cg14502484,cg04574090,cg01146232,0.973033708,0.919250508,0.984962406,,,,,,,,,
XGBoost,cg07445246,cg14502484,cg04574090,cg01146232,0.968539326,0.897973912,0.9825,,,,,,,,,
RandomForest,cg07445246,cg14502484,cg04574090,cg01146232,0.97752809,0.931145087,0.987468672,,,,,,,,,
Logistic Regression,cg09293816,cg14502484,cg04574090,cg01146232,0.948314607,0.811611248,0.97149938,,,,,,,,,
SVM,cg09293816,cg14502484,cg04574090,cg01146232,0.975280899,0.939270822,0.986163522,,,,,,,,,
XGBoost,cg09293816,cg14502484,cg04574090,cg01146232,0.968539326,0.907355929,0.98245614,,,,,,,,,
RandomForest,cg09293816,cg14502484,cg04574090,cg01146232,0.97752809,0.931145087,0.987468672,,,,,,,,,
Decision Tree,cg18710784,cg14502484,cg04574090,cg01146232,0.95505618,0.861033893,0.973717146,,,,,,,,,
SVM,cg18710784,cg14502484,cg04574090,cg01146232,0.964044944,0.932989415,0.979746835,,,,,,,,,
XGBoost,cg18710784,cg14502484,cg04574090,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
RandomForest,cg18710784,cg14502484,cg04574090,cg01146232,0.966292135,0.906099647,0.981179423,,,,,,,,,
Logistic Regression,cg22877509,cg14502484,cg04574090,cg01146232,0.959550562,0.855420721,0.97761194,,,,,,,,,
SVM,cg22877509,cg14502484,cg04574090,cg01146232,0.966292135,0.906099647,0.981179423,,,,,,,,,
XGBoost,cg22877509,cg14502484,cg04574090,cg01146232,0.959550562,0.874184754,0.9775,,,,,,,,,
RandomForest,cg22877509,cg14502484,cg04574090,cg01146232,0.964044944,0.895461349,0.979949875,,,,,,,,,
Logistic Regression,cg24848035,cg14502484,cg04574090,cg01146232,0.973033708,0.900486475,0.985037406,,,,,,,,,
SVM,cg24848035,cg14502484,cg04574090,cg01146232,0.97752809,0.940527104,0.987437186,,,,,,,,,
XGBoost,cg24848035,cg14502484,cg04574090,cg01146232,0.979775281,0.932401369,0.98873592,,,,,,,,,
RandomForest,cg24848035,cg14502484,cg04574090,cg01146232,0.984269663,0.953677964,0.991217064,,,,,,,,,
Logistic Regression,cg26405020,cg14502484,cg04574090,cg01146232,0.95505618,0.834144125,0.975186104,,,,,,,,,
SVM,cg26405020,cg14502484,cg04574090,cg01146232,0.970786517,0.936758259,0.983606557,,,,,,,,,
XGBoost,cg26405020,cg14502484,cg04574090,cg01146232,0.964044944,0.886079333,0.98,,,,,,,,,
RandomForest,cg26405020,cg14502484,cg04574090,cg01146232,0.966292135,0.906099647,0.981179423,,,,,,,,,
Logistic Regression,cg27494647,cg14502484,cg04574090,cg01146232,0.966292135,0.877953598,0.98132005,,,,,,,,,
SVM,cg27494647,cg14502484,cg04574090,cg01146232,0.964044944,0.904843366,0.979899497,,,,,,,,,
XGBoost,cg27494647,cg14502484,cg04574090,cg01146232,0.959550562,0.902330803,0.977329975,,,,,,,,,
RandomForest,cg27494647,cg14502484,cg04574090,cg01146232,0.964044944,0.904843366,0.979899497,,,,,,,,,
Logistic Regression,cg01158680,cg16294013,cg04574090,cg01146232,0.939325843,0.787822089,0.966542751,,,,,,,,,
SVM,cg01158680,cg16294013,cg04574090,cg01146232,0.957303371,0.919838554,0.975918885,,,,,,,,,
XGBoost,cg01158680,cg16294013,cg04574090,cg01146232,0.952808989,0.898561959,0.973451327,,,,,,,,,
RandomForest,cg01158680,cg16294013,cg04574090,cg01146232,0.95505618,0.881054207,0.974874372,,,,,,,,,
Logistic Regression,cg04037038,cg16294013,cg04574090,cg01146232,0.93258427,0.755907196,0.962962963,,,,,,,,,
SVM,cg04037038,cg16294013,cg04574090,cg01146232,0.946067416,0.904175131,0.969465649,,,,,,,,,
XGBoost,cg04037038,cg16294013,cg04574090,cg01146232,0.934831461,0.860365658,0.963244613,,,,,,,,,
RandomForest,cg04037038,cg16294013,cg04574090,cg01146232,0.948314607,0.85852133,0.971141782,,,,,,,,,
Logistic Regression,cg07445246,cg16294013,cg04574090,cg01146232,0.968539326,0.869827863,0.982630273,,,,,,,,,
SVM,cg07445246,cg16294013,cg04574090,cg01146232,0.973033708,0.909868491,0.985,,,,,,,,,
XGBoost,cg07445246,cg16294013,cg04574090,cg01146232,0.975280899,0.920506789,0.986232791,,,,,,,,,
RandomForest,cg07445246,cg16294013,cg04574090,cg01146232,0.975280899,0.920506789,0.986232791,,,,,,,,,
Logistic Regression,cg09293816,cg16294013,cg04574090,cg01146232,0.930337079,0.735886881,0.961869619,,,,,,,,,
SVM,cg09293816,cg16294013,cg04574090,cg01146232,0.950561798,0.887923661,0.972222222,,,,,,,,,
XGBoost,cg09293816,cg16294013,cg04574090,cg01146232,0.950561798,0.850395595,0.9725,,,,,,,,,
RandomForest,cg09293816,cg16294013,cg04574090,cg01146232,0.961797753,0.884823051,0.978723404,,,,,,,,,
Logistic Regression,cg18710784,cg16294013,cg04574090,cg01146232,0.941573034,0.807842404,0.967661692,,,,,,,,,
SVM,cg18710784,cg16294013,cg04574090,cg01146232,0.952808989,0.917325992,0.973316391,,,,,,,,,
XGBoost,cg18710784,cg16294013,cg04574090,cg01146232,0.937078652,0.852239923,0.964646465,,,,,,,,,
RandomForest,cg18710784,cg16294013,cg04574090,cg01146232,0.959550562,0.88356677,0.977443609,,,,,,,,,
Logistic Regression,cg22877509,cg16294013,cg04574090,cg01146232,0.941573034,0.779696354,0.967901235,,,,,,,,,
SVM,cg22877509,cg16294013,cg04574090,cg01146232,0.946067416,0.876029082,0.96969697,,,,,,,,,
XGBoost,cg22877509,cg16294013,cg04574090,cg01146232,0.950561798,0.859777611,0.972431078,,,,,,,,,
RandomForest,cg22877509,cg16294013,cg04574090,cg01146232,0.95505618,0.852908158,0.975062344,,,,,,,,,
Logistic Regression,cg24848035,cg16294013,cg04574090,cg01146232,0.964044944,0.8673153,0.980099502,,,,,,,,,
SVM,cg24848035,cg16294013,cg04574090,cg01146232,0.973033708,0.928632524,0.984924623,,,,,,,,,
XGBoost,cg24848035,cg16294013,cg04574090,cg01146232,0.970786517,0.917994226,0.983688833,,,,,,,,,
RandomForest,cg24848035,cg16294013,cg04574090,cg01146232,0.97752809,0.940527104,0.987437186,,,,,,,,,
Logistic Regression,cg26405020,cg16294013,cg04574090,cg01146232,0.916853933,0.70958516,0.954377312,,,,,,,,,
SVM,cg26405020,cg16294013,cg04574090,cg01146232,0.946067416,0.885411098,0.969620253,,,,,,,,,
XGBoost,cg26405020,cg16294013,cg04574090,cg01146232,0.943820225,0.8747728,0.968394437,,,,,,,,,
RandomForest,cg26405020,cg16294013,cg04574090,cg01146232,0.952808989,0.879797926,0.973584906,,,,,,,,,
Logistic Regression,cg27494647,cg16294013,cg04574090,cg01146232,0.948314607,0.811611248,0.97149938,,,,,,,,,
SVM,cg27494647,cg16294013,cg04574090,cg01146232,0.957303371,0.882310489,0.976160602,,,,,,,,,
XGBoost,cg27494647,cg16294013,cg04574090,cg01146232,0.959550562,0.892948786,0.977386935,,,,,,,,,
RandomForest,cg27494647,cg16294013,cg04574090,cg01146232,0.95505618,0.881054207,0.974874372,,,,,,,,,
Logistic Regression,cg01158680,cg19619405,cg04574090,cg01146232,0.952808989,0.84226986,0.97384807,,,,,,,,,
SVM,cg01158680,cg19619405,cg04574090,cg01146232,0.959550562,0.930476852,0.97715736,,,,,,,,,
XGBoost,cg01158680,cg19619405,cg04574090,cg01146232,0.950561798,0.869159628,0.972361809,,,,,,,,,
RandomForest,cg01158680,cg19619405,cg04574090,cg01146232,0.957303371,0.882310489,0.976160602,,,,,,,,,
Logistic Regression,cg04037038,cg19619405,cg04574090,cg01146232,0.939325843,0.797204106,0.966459627,,,,,,,,,
SVM,cg04037038,cg19619405,cg04574090,cg01146232,0.95505618,0.918582273,0.974619289,,,,,,,,,
XGBoost,cg04037038,cg19619405,cg04574090,cg01146232,0.937078652,0.842857907,0.964735516,,,,,,,,,
RandomForest,cg04037038,cg19619405,cg04574090,cg01146232,0.948314607,0.867903347,0.971069182,,,,,,,,,
Logistic Regression,cg07445246,cg19619405,cg04574090,cg01146232,0.975280899,0.89236074,0.986335404,,,,,,,,,
SVM,cg07445246,cg19619405,cg04574090,cg01146232,0.975280899,0.929888806,0.986198243,,,,,,,,,
XGBoost,cg07445246,cg19619405,cg04574090,cg01146232,0.970786517,0.917994226,0.983688833,,,,,,,,,
RandomForest,cg07445246,cg19619405,cg04574090,cg01146232,0.984269663,0.953677964,0.991217064,,,,,,,,,
Logistic Regression,cg09293816,cg19619405,cg04574090,cg01146232,0.939325843,0.797204106,0.966459627,,,,,,,,,
SVM,cg09293816,cg19619405,cg04574090,cg01146232,0.95505618,0.89981824,0.974747475,,,,,,,,,
XGBoost,cg09293816,cg19619405,cg04574090,cg01146232,0.950561798,0.887923661,0.972222222,,,,,,,,,
RandomForest,cg09293816,cg19619405,cg04574090,cg01146232,0.957303371,0.891692505,0.976100629,,,,,,,,,
Decision Tree,cg18710784,cg19619405,cg04574090,cg01146232,0.928089888,0.845370469,0.967336683,,,,,,,,,
SVM,cg18710784,cg19619405,cg04574090,cg01146232,0.957303371,0.919838554,0.975918885,,,,,,,,,
XGBoost,cg18710784,cg19619405,cg04574090,cg01146232,0.950561798,0.859777611,0.972431078,,,,,,,,,
RandomForest,cg18710784,cg19619405,cg04574090,cg01146232,0.957303371,0.872928472,0.976220275,,,,,,,,,
Logistic Regression,cg22877509,cg19619405,cg04574090,cg01146232,0.95505618,0.834144125,0.975186104,,,,,,,,,
SVM,cg22877509,cg19619405,cg04574090,cg01146232,0.950561798,0.878541644,0.972292191,,,,,,,,,
XGBoost,cg22877509,cg19619405,cg04574090,cg01146232,0.95505618,0.881054207,0.974874372,,,,,,,,,
RandomForest,cg22877509,cg19619405,cg04574090,cg01146232,0.961797753,0.894205068,0.978670013,,,,,,,,,
Logistic Regression,cg24848035,cg19619405,cg04574090,cg01146232,0.970786517,0.889848177,0.98381071,,,,,,,,,
SVM,cg24848035,cg19619405,cg04574090,cg01146232,0.97752809,0.940527104,0.987437186,,,,,,,,,
XGBoost,cg24848035,cg19619405,cg04574090,cg01146232,0.982022472,0.961803699,0.989924433,,,,,,,,,
RandomForest,cg24848035,cg19619405,cg04574090,cg01146232,0.984269663,0.953677964,0.991217064,,,,,,,,,
Logistic Regression,cg26405020,cg19619405,cg04574090,cg01146232,0.934831461,0.785309526,0.963975155,,,,,,,,,
SVM,cg26405020,cg19619405,cg04574090,cg01146232,0.957303371,0.919838554,0.975918885,,,,,,,,,
XGBoost,cg26405020,cg19619405,cg04574090,cg01146232,0.943820225,0.856008767,0.968553459,,,,,,,,,
RandomForest,cg26405020,cg19619405,cg04574090,cg01146232,0.943820225,0.856008767,0.968553459,,,,,,,,,
Logistic Regression,cg27494647,cg19619405,cg04574090,cg01146232,0.957303371,0.854164439,0.97633873,,,,,,,,,
SVM,cg27494647,cg19619405,cg04574090,cg01146232,0.950561798,0.878541644,0.972292191,,,,,,,,,
XGBoost,cg27494647,cg19619405,cg04574090,cg01146232,0.952808989,0.870415909,0.973651192,,,,,,,,,
RandomForest,cg27494647,cg19619405,cg04574090,cg01146232,0.964044944,0.914225382,0.979848866,,,,,,,,,
Logistic Regression,cg01158680,cg22881914,cg04574090,cg01146232,0.939325843,0.787822089,0.966542751,,,,,,,,,
SVM,cg01158680,cg22881914,cg04574090,cg01146232,0.952808989,0.889179942,0.973518285,,,,,,,,,
XGBoost,cg01158680,cg22881914,cg04574090,cg01146232,0.948314607,0.849139314,0.971214018,,,,,,,,,
RandomForest,cg01158680,cg22881914,cg04574090,cg01146232,0.95505618,0.862290174,0.975,,,,,,,,,
Logistic Regression,cg04037038,cg22881914,cg04574090,cg01146232,0.925842697,0.742756335,0.9592089,,,,,,,,,
SVM,cg04037038,cg22881914,cg04574090,cg01146232,0.943820225,0.8747728,0.968394437,,,,,,,,,
XGBoost,cg04037038,cg22881914,cg04574090,cg01146232,0.925842697,0.817812467,0.958385876,,,,,,,,,
RandomForest,cg04037038,cg22881914,cg04574090,cg01146232,0.943820225,0.846626751,0.968632371,,,,,,,,,
Logistic Regression,cg07445246,cg22881914,cg04574090,cg01146232,0.964044944,0.839169251,0.980246914,,,,,,,,,
SVM,cg07445246,cg22881914,cg04574090,cg01146232,0.975280899,0.911124773,0.986267166,,,,,,,,,
XGBoost,cg07445246,cg22881914,cg04574090,cg01146232,0.961797753,0.875441035,0.978776529,,,,,,,,,
RandomForest,cg07445246,cg22881914,cg04574090,cg01146232,0.979775281,0.932401369,0.98873592,,,,,,,,,
Logistic Regression,cg09293816,cg22881914,cg04574090,cg01146232,0.925842697,0.723992302,0.959409594,,,,,,,,,
SVM,cg09293816,cg22881914,cg04574090,cg01146232,0.946067416,0.857265049,0.969849246,,,,,,,,,
XGBoost,cg09293816,cg22881914,cg04574090,cg01146232,0.961797753,0.894205068,0.978670013,,,,,,,,,
RandomForest,cg09293816,cg22881914,cg04574090,cg01146232,0.959550562,0.874184754,0.9775,,,,,,,,,
Logistic Regression,cg18710784,cg22881914,cg04574090,cg01146232,0.943820225,0.799716668,0.969021066,,,,,,,,,
SVM,cg18710784,cg22881914,cg04574090,cg01146232,0.946067416,0.904175131,0.969465649,,,,,,,,,
XGBoost,cg18710784,cg22881914,cg04574090,cg01146232,0.937078652,0.871003956,0.964467005,,,,,,,,,
RandomForest,cg18710784,cg22881914,cg04574090,cg01146232,0.950561798,0.869159628,0.972361809,,,,,,,,,
Logistic Regression,cg22877509,cg22881914,cg04574090,cg01146232,0.941573034,0.760932321,0.968058968,,,,,,,,,
SVM,cg22877509,cg22881914,cg04574090,cg01146232,0.943820225,0.856008767,0.968553459,,,,,,,,,
XGBoost,cg22877509,cg22881914,cg04574090,cg01146232,0.941573034,0.845370469,0.967336683,,,,,,,,,
RandomForest,cg22877509,cg22881914,cg04574090,cg01146232,0.950561798,0.850395595,0.9725,,,,,,,,,
Logistic Regression,cg24848035,cg22881914,cg04574090,cg01146232,0.957303371,0.835400406,0.97645601,,,,,,,,,
SVM,cg24848035,cg22881914,cg04574090,cg01146232,0.968539326,0.926119962,0.982367758,,,,,,,,,
XGBoost,cg24848035,cg22881914,cg04574090,cg01146232,0.970786517,0.927376243,0.983647799,,,,,,,,,
RandomForest,cg24848035,cg22881914,cg04574090,cg01146232,0.97752809,0.94990912,0.987405542,,,,,,,,,
Logistic Regression,cg26405020,cg22881914,cg04574090,cg01146232,0.916853933,0.70958516,0.954377312,,,,,,,,,
SVM,cg26405020,cg22881914,cg04574090,cg01146232,0.93258427,0.840345344,0.962121212,,,,,,,,,
XGBoost,cg26405020,cg22881914,cg04574090,cg01146232,0.925842697,0.799048434,0.95859473,,,,,,,,,
RandomForest,cg26405020,cg22881914,cg04574090,cg01146232,0.939325843,0.825350155,0.96620776,,,,,,,,,
Logistic Regression,cg27494647,cg22881914,cg04574090,cg01146232,0.950561798,0.812867529,0.972772277,,,,,,,,,
SVM,cg27494647,cg22881914,cg04574090,cg01146232,0.948314607,0.867903347,0.971069182,,,,,,,,,
XGBoost,cg27494647,cg22881914,cg04574090,cg01146232,0.946067416,0.866647065,0.9697733,,,,,,,,,
RandomForest,cg27494647,cg22881914,cg04574090,cg01146232,0.946067416,0.847883032,0.969924812,,,,,,,,,
Logistic Regression,cg01158680,cg03520644,cg05863502,cg01146232,0.95505618,0.843526141,0.975124378,,,,,,,,,
SVM,cg01158680,cg03520644,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
XGBoost,cg01158680,cg03520644,cg05863502,cg01146232,0.95505618,0.862290174,0.975,,,,,,,,,
RandomForest,cg01158680,cg03520644,cg05863502,cg01146232,0.966292135,0.896717631,0.981226533,,,,,,,,,
Logistic Regression,cg04037038,cg03520644,cg05863502,cg01146232,0.95505618,0.834144125,0.975186104,,,,,,,,,
SVM,cg04037038,cg03520644,cg05863502,cg01146232,0.957303371,0.910456538,0.975979772,,,,,,,,,
XGBoost,cg04037038,cg03520644,cg05863502,cg01146232,0.961797753,0.884823051,0.978723404,,,,,,,,,
RandomForest,cg04037038,cg03520644,cg05863502,cg01146232,0.964044944,0.895461349,0.979949875,,,,,,,,,
Decision Tree,cg07445246,cg03520644,cg05863502,cg01146232,0.961797753,0.884823051,0.978723404,,,,,,,,,
SVM,cg07445246,cg03520644,cg05863502,cg01146232,0.979775281,0.941783385,0.988707654,,,,,,,,,
XGBoost,cg07445246,cg03520644,cg05863502,cg01146232,0.975280899,0.929888806,0.986198243,,,,,,,,,
RandomForest,cg07445246,cg03520644,cg05863502,cg01146232,0.975280899,0.920506789,0.986232791,,,,,,,,,
Logistic Regression,cg09293816,cg03520644,cg05863502,cg01146232,0.950561798,0.822249546,0.972704715,,,,,,,,,
SVM,cg09293816,cg03520644,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
XGBoost,cg09293816,cg03520644,cg05863502,cg01146232,0.959550562,0.864802737,0.97755611,,,,,,,,,
RandomForest,cg09293816,cg03520644,cg05863502,cg01146232,0.964044944,0.895461349,0.979949875,,,,,,,,,
Logistic Regression,cg18710784,cg03520644,cg05863502,cg01146232,0.957303371,0.844782423,0.976397516,,,,,,,,,
SVM,cg18710784,cg03520644,cg05863502,cg01146232,0.964044944,0.923607399,0.97979798,,,,,,,,,
XGBoost,cg18710784,cg03520644,cg05863502,cg01146232,0.961797753,0.894205068,0.978670013,,,,,,,,,
RandomForest,cg18710784,cg03520644,cg05863502,cg01146232,0.961797753,0.884823051,0.978723404,,,,,,,,,
Logistic Regression,cg22877509,cg03520644,cg05863502,cg01146232,0.952808989,0.823505827,0.973977695,,,,,,,,,
SVM,cg22877509,cg03520644,cg05863502,cg01146232,0.966292135,0.92486368,0.981084489,,,,,,,,,
XGBoost,cg22877509,cg03520644,cg05863502,cg01146232,0.964044944,0.886079333,0.98,,,,,,,,,
RandomForest,cg22877509,cg03520644,cg05863502,cg01146232,0.95505618,0.862290174,0.975,,,,,,,,,
Decision Tree,cg24848035,cg03520644,cg05863502,cg01146232,0.975280899,0.876697316,0.980049875,,,,,,,,,
SVM,cg24848035,cg03520644,cg05863502,cg01146232,0.975280899,0.929888806,0.986198243,,,,,,,,,
XGBoost,cg24848035,cg03520644,cg05863502,cg01146232,0.97752809,0.940527104,0.987437186,,,,,,,,,
RandomForest,cg24848035,cg03520644,cg05863502,cg01146232,0.979775281,0.941783385,0.988707654,,,,,,,,,
Logistic Regression,cg26405020,cg03520644,cg05863502,cg01146232,0.961797753,0.847294986,0.978934325,,,,,,,,,
SVM,cg26405020,cg03520644,cg05863502,cg01146232,0.964044944,0.904843366,0.979899497,,,,,,,,,
XGBoost,cg26405020,cg03520644,cg05863502,cg01146232,0.964044944,0.886079333,0.98,,,,,,,,,
RandomForest,cg26405020,cg03520644,cg05863502,cg01146232,0.968539326,0.897973912,0.9825,,,,,,,,,
Logistic Regression,cg27494647,cg03520644,cg05863502,cg01146232,0.959550562,0.855420721,0.97761194,,,,,,,,,
SVM,cg27494647,cg03520644,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
XGBoost,cg27494647,cg03520644,cg05863502,cg01146232,0.961797753,0.894205068,0.978670013,,,,,,,,,
RandomForest,cg27494647,cg03520644,cg05863502,cg01146232,0.966292135,0.906099647,0.981179423,,,,,,,,,
Decision Tree,cg01158680,cg09554951,cg05863502,cg01146232,0.937078652,0.806586122,0.96637609,,,,,,,,,
SVM,cg01158680,cg09554951,cg05863502,cg01146232,0.95505618,0.89981824,0.974747475,,,,,,,,,
XGBoost,cg01158680,cg09554951,cg05863502,cg01146232,0.959550562,0.88356677,0.977443609,,,,,,,,,
RandomForest,cg01158680,cg09554951,cg05863502,cg01146232,0.964044944,0.876697316,0.980049875,,,,,,,,,
Logistic Regression,cg04037038,cg09554951,cg05863502,cg01146232,0.939325843,0.769058056,0.966707768,,,,,,,,,
SVM,cg04037038,cg09554951,cg05863502,cg01146232,0.95505618,0.890436224,0.974811083,,,,,,,,,
XGBoost,cg04037038,cg09554951,cg05863502,cg01146232,0.957303371,0.872928472,0.976220275,,,,,,,,,
RandomForest,cg04037038,cg09554951,cg05863502,cg01146232,0.957303371,0.863546456,0.97627965,,,,,,,,,
Logistic Regression,cg07445246,cg09554951,cg05863502,cg01146232,0.966292135,0.849807548,0.981458591,,,,,,,,,
SVM,cg07445246,cg09554951,cg05863502,cg01146232,0.97752809,0.940527104,0.987437186,,,,,,,,,
XGBoost,cg07445246,cg09554951,cg05863502,cg01146232,0.979775281,0.951165401,0.988679245,,,,,,,,,
RandomForest,cg07445246,cg09554951,cg05863502,cg01146232,0.984269663,0.953677964,0.991217064,,,,,,,,,
Logistic Regression,cg09293816,cg09554951,cg05863502,cg01146232,0.937078652,0.758419758,0.965517241,,,,,,,,,
SVM,cg09293816,cg09554951,cg05863502,cg01146232,0.948314607,0.896049396,0.970849176,,,,,,,,,
XGBoost,cg09293816,cg09554951,cg05863502,cg01146232,0.964044944,0.914225382,0.979848866,,,,,,,,,
RandomForest,cg09293816,cg09554951,cg05863502,cg01146232,0.973033708,0.900486475,0.985037406,,,,,,,,,
Logistic Regression,cg18710784,cg09554951,cg05863502,cg01146232,0.961797753,0.847294986,0.978934325,,,,,,,,,
SVM,cg18710784,cg09554951,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
XGBoost,cg18710784,cg09554951,cg05863502,cg01146232,0.968539326,0.907355929,0.98245614,,,,,,,,,
RandomForest,cg18710784,cg09554951,cg05863502,cg01146232,0.968539326,0.888591896,0.982543641,,,,,,,,,
Logistic Regression,cg22877509,cg09554951,cg05863502,cg01146232,0.952808989,0.804741794,0.974106042,,,,,,,,,
SVM,cg22877509,cg09554951,cg05863502,cg01146232,0.95505618,0.871672191,0.974937343,,,,,,,,,
XGBoost,cg22877509,cg09554951,cg05863502,cg01146232,0.979775281,0.932401369,0.98873592,,,,,,,,,
RandomForest,cg22877509,cg09554951,cg05863502,cg01146232,0.968539326,0.879209879,0.982587065,,,,,,,,,
Logistic Regression,cg24848035,cg09554951,cg05863502,cg01146232,0.968539326,0.869827863,0.982630273,,,,,,,,,
SVM,cg24848035,cg09554951,cg05863502,cg01146232,0.966292135,0.915481664,0.981132075,,,,,,,,,
XGBoost,cg24848035,cg09554951,cg05863502,cg01146232,0.97752809,0.94990912,0.987405542,,,,,,,,,
RandomForest,cg24848035,cg09554951,cg05863502,cg01146232,0.982022472,0.952421683,0.989949749,,,,,,,,,
Logistic Regression,cg26405020,cg09554951,cg05863502,cg01146232,0.930337079,0.745268898,0.961775586,,,,,,,,,
SVM,cg26405020,cg09554951,cg05863502,cg01146232,0.946067416,0.885411098,0.969620253,,,,,,,,,
XGBoost,cg26405020,cg09554951,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
RandomForest,cg26405020,cg09554951,cg05863502,cg01146232,0.959550562,0.88356677,0.977443609,,,,,,,,,
Logistic Regression,cg27494647,cg09554951,cg05863502,cg01146232,0.959550562,0.836656688,0.977722772,,,,,,,,,
SVM,cg27494647,cg09554951,cg05863502,cg01146232,0.959550562,0.902330803,0.977329975,,,,,,,,,
XGBoost,cg27494647,cg09554951,cg05863502,cg01146232,0.975280899,0.929888806,0.986198243,,,,,,,,,
RandomForest,cg27494647,cg09554951,cg05863502,cg01146232,0.973033708,0.909868491,0.985,,,,,,,,,
Logistic Regression,cg01158680,cg10266490,cg05863502,cg01146232,0.959550562,0.855420721,0.97761194,,,,,,,,,
SVM,cg01158680,cg10266490,cg05863502,cg01146232,0.973033708,0.947396557,0.984848485,,,,,,,,,
XGBoost,cg01158680,cg10266490,cg05863502,cg01146232,0.957303371,0.872928472,0.976220275,,,,,,,,,
RandomForest,cg01158680,cg10266490,cg05863502,cg01146232,0.973033708,0.919250508,0.984962406,,,,,,,,,
Logistic Regression,cg04037038,cg10266490,cg05863502,cg01146232,0.959550562,0.846038704,0.977667494,,,,,,,,,
SVM,cg04037038,cg10266490,cg05863502,cg01146232,0.968539326,0.935501978,0.982323232,,,,,,,,,
XGBoost,cg04037038,cg10266490,cg05863502,cg01146232,0.959550562,0.874184754,0.9775,,,,,,,,,
RandomForest,cg04037038,cg10266490,cg05863502,cg01146232,0.973033708,0.919250508,0.984962406,,,,,,,,,
Logistic Regression,cg07445246,cg10266490,cg05863502,cg01146232,0.966292135,0.859189565,0.981412639,,,,,,,,,
SVM,cg07445246,cg10266490,cg05863502,cg01146232,0.982022472,0.961803699,0.989924433,,,,,,,,,
XGBoost,cg07445246,cg10266490,cg05863502,cg01146232,0.975280899,0.929888806,0.986198243,,,,,,,,,
RandomForest,cg07445246,cg10266490,cg05863502,cg01146232,0.975280899,0.920506789,0.986232791,,,,,,,,,
Logistic Regression,cg09293816,cg10266490,cg05863502,cg01146232,0.952808989,0.823505827,0.973977695,,,,,,,,,
SVM,cg09293816,cg10266490,cg05863502,cg01146232,0.966292135,0.915481664,0.981132075,,,,,,,,,
XGBoost,cg09293816,cg10266490,cg05863502,cg01146232,0.964044944,0.904843366,0.979899497,,,,,,,,,
RandomForest,cg09293816,cg10266490,cg05863502,cg01146232,0.973033708,0.919250508,0.984962406,,,,,,,,,
Logistic Regression,cg18710784,cg10266490,cg05863502,cg01146232,0.964044944,0.876697316,0.980049875,,,,,,,,,
SVM,cg18710784,cg10266490,cg05863502,cg01146232,0.973033708,0.938014541,0.98488665,,,,,,,,,
XGBoost,cg18710784,cg10266490,cg05863502,cg01146232,0.961797753,0.903587084,0.978616352,,,,,,,,,
RandomForest,cg18710784,cg10266490,cg05863502,cg01146232,0.973033708,0.919250508,0.984962406,,,,,,,,,
Logistic Regression,cg22877509,cg10266490,cg05863502,cg01146232,0.957303371,0.844782423,0.976397516,,,,,,,,,
SVM,cg22877509,cg10266490,cg05863502,cg01146232,0.964044944,0.895461349,0.979949875,,,,,,,,,
XGBoost,cg22877509,cg10266490,cg05863502,cg01146232,0.961797753,0.884823051,0.978723404,,,,,,,,,
RandomForest,cg22877509,cg10266490,cg05863502,cg01146232,0.970786517,0.917994226,0.983688833,,,,,,,,,
Decision Tree,cg24848035,cg10266490,cg05863502,cg01146232,0.957303371,0.874184754,0.9775,,,,,,,,,
SVM,cg24848035,cg10266490,cg05863502,cg01146232,0.979775281,0.960547418,0.988650694,,,,,,,,,
