Gene,Cluster,Probe_ID,gene,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
PCDH17,3,cg26444528,PCDH17,0.7175,0.7175,280.5,281.5,239,0.754732576
RARRES2,3,cg27494647,RARRES2,0.716304348,0.716304348,282,283,255,0.784674452
AFAP1,3,cg23750206,AFAP1,0.710543478,0.710543478,284,284,264,0.725430598
TAMALIN,3,cg06970510,TAMALIN,0.71,0.71,285,285,261,0.839065749
NBEAL2,3,cg02534363,NBEAL2,0.708691099,0.708691099,286,286,279,0.774329441
COL11A2,3,cg08481075,COL11A2,0.706170213,0.706170213,288,288,298,0.909507812
DNM3,3,cg17154724,DNM3,0.705,0.705,289,289,260,0.7381219
RGS7,3,cg14156405,RGS7,0.703055556,0.703055556,291,291,284,0.585532981
TRIM71,3,cg12338417,TRIM71,0.699473684,0.69,295,302.5,267,0.82485469
MYT1,3,cg21367256,MYT1,0.694642857,0.694642857,298,298,273,0.806404309
DPYSL2,3,cg07581623,DPYSL2,0.693333333,0.693333333,300.5,300.5,315,0.817122594
CCND2,3,cg13391820,CCND2,0.69,0.546630435,302.5,357,349,0.769983469
PACS2,3,cg12425861,PACS2,0.688888889,0.681944444,305,310,282,0.890524183
IGFBP4,3,cg03635766,IGFBP4,0.688055556,0.688055556,307,306,322,0.436436837
IGF2BP1,3,cg02745847,IGF2BP1,0.6825,0.72076087,310,278,251,0.798432251
RGS17,3,cg17264670,RGS17,0.679734043,0.679734043,311,311,344,0.638617821
NOTCH3,3,cg21514227,NOTCH3,0.67877551,0.472244898,312,367,363,0.804564603
EEF1A2,3,cg26186239,EEF1A2,0.670780856,0.670780856,315,314,303,0.845091452
CD1D,3,cg24432768,CD1D,0.665543478,0.665543478,316,315,335,0.276302458
ADAM19,3,cg13667243,ADAM19,0.66,0.66,319,318,345,0.759825095
HAPLN4,3,cg22694191,HAPLN4,0.652287234,0.652287234,321,320,299,0.752199648
DAB2,3,cg12290311,DAB2,0.650833333,0.650833333,323,322,301,0.736202208
CPEB1,3,cg24319381,CPEB1,0.64356383,0.64356383,327,326,305,0.730176505
ANGPTL2,3,cg08076018,ANGPTL2,0.640833333,0.640833333,329,328,355,0.822161787
CYYR1,3,cg19678828,CYYR1,0.640459184,0.640459184,330,329,339,0.762704634
MAP3K11,3,cg19811337,MAP3K11,0.6375,0.6375,331,330,310,0.771476564
EZR,3,cg22871253,EZR,0.636437659,0.636437659,332,331,311,0.917133259
PENK,3,cg04127342,PENK,0.635,0.635,334,333,366.5,0.774516077
SYN2,3,cg15873301,SYN2,0.6325,0.6325,335,334,334,0.873406922
TSSK6,3,cg25352836,TSSK6,0.625,0.625,337,336,343,0.849330774
AHNAK,3,cg25272143,AHNAK,0.622393617,0.622393617,339,338,318,0.758545299
FMN2,3,cg15031661,FMN2,0.620971867,0.620971867,340,339,319,0.879805898
DDR2,3,cg19313373,DDR2,0.619897959,0.619897959,342,340,321,0.954114008
PDPN,3,cg18877506,PDPN,0.6125,0.685,343.5,308,288,0.751399776
STIM1,3,cg13782615,STIM1,0.611734694,0.611734694,345,343,348,0.799578734
EPHB1,3,cg15000071,EPHB1,0.595,0.595,350,348,352,0.856662934
USP44,3,cg07783282,USP44,0.580406091,0.580406091,351,349,336,0.942969125
UTF1,3,cg09053680,UTF1,0.57627551,0.57627551,352,350,359,0.869354237
L1TD1,3,cg23049458,L1TD1,0.575189873,0.575189873,353,351,340,0.812136725
BCAS3,3,cg10588135,BCAS3,0.566666667,0.566666667,355,353,364,0.788913774
FMNL2,3,cg24749089,FMNL2,0.565,0.565,356,354,342,0.814962939
CAPZB,3,cg25839439,CAPZB,0.553333333,0.532307692,358,359,354,0.848210953
FGF8,3,cg06169131,FGF8,0.54845953,0.54845953,359,356,361,0.863808457
GCK,3,cg13476133,GCK,0.546492147,0.546492147,360,358,370,0.842371887
NHERF1,3,cg06389019,NHERF1,0.529081633,0.529081633,362,361,360,0.861942089
AJAP1,3,cg26231761,AJAP1,0.5225,0.5225,365,364,371,0.780675092
EFEMP1,3,cg05385513,EFEMP1,0.505185185,0.505185185,367,366,333,0.865221565
SCT,3,cg25774643,SCT,0.467849462,0.467849462,368,368,346,0.832213513
CD247,3,cg05799811,CD247,0.392222222,0.392222222,371,371,369,0.792166587
HCK,3,cg17508991,HCK,0.355751812,0.355751812,372,372,372,0.794219592
ATXN1,3,cg24067911,ATXN1,0.341479592,0.341479592,374,374,374,0.86028902
RASSF1,3,cg04540383,RASSF1,-0.022727273,0.067939394,375,375,375,0.795712686
